Image Style,Background Color,Theme Description,Content Title,Image Generation
"Create flat-vector yoga pose illustrations featuring a single female figure in teal and charcoal sportswear, drawn with uniform line weight, no gradients, a limited teal-orange palette.",#ADD8E6,Yoga poses for an infographic,Mountain Pose,
,,,Downward-Facing Dog,
,,,Upward-Facing Dog,
,,,Childâ€™s Pose,
,,,Cobra Pose,
,,,Plank Pose,
,,,Low Lunge,
,,,High Lunge / Crescent,
,,,Warrior I,
,,,Warrior II,
,,,Reverse Warrior,
,,,Triangle,
,,,Extended Side Angle,
,,,Half-Moon,
,,,Tree Pose,
,,,Eagle Pose,
,,,Chair Pose,
,,,Standing Forward Fold,
,,,Pyramid Pose,
,,,Boat Pose,
,,,Bridge Pose,
,,,Wheel / Full Bridge,
,,,Camel Pose,
,,,Locust Pose,
,,,Bow Pose,
,,,Seated Forward Bend,
,,,Bound Angle / Butterfly,
,,,Head-to-Knee Pose,
,,,Shoulderstand,
,,,Corpse Pose,